,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-09-03,102.575,102.39,102.76,102.268,338,3457077.0,0.48,-0.18,-0.187,0.64
1,2018-09-04,102.1,102.381,102.4,101.93,798,8168610.0,0.46,-0.01,-0.009,1.5
2,2018-09-05,102.201,102.3,102.6,102.165,280,2864636.0,0.42,-0.08,-0.081,0.53
3,2018-09-06,101.398,102.188,102.193,101.398,261,2667111.0,0.78,-0.11,-0.112,0.49
4,2018-09-07,102.05,102.157,102.177,102.049,220,2250008.0,0.13,-0.03,-0.031,0.42
5,2018-09-10,102.104,102.11,102.18,102.1,205,2093260.0,0.08,-0.05,-0.047,0.39
6,2018-09-11,101.911,101.887,102.05,101.441,884,8994639.0,0.6,-0.22,-0.223,1.67
7,2018-09-12,101.75,101.771,101.87,101.599,168,1707301.0,0.27,-0.11,-0.116,0.32
8,2018-09-13,101.771,101.751,102.178,101.733,399,4071184.0,0.44,-0.02,-0.02,0.75
9,2018-09-14,101.781,101.98,102.035,101.781,274,2795508.0,0.25,0.23,0.229,0.52
10,2018-09-17,102.11,102.101,102.2,101.919,249,2540500.0,0.28,0.12,0.121,0.47
11,2018-09-18,102.101,102.184,102.252,102.101,209,2139834.0,0.15,0.08,0.083,0.39
12,2018-09-19,102.436,102.168,102.436,102.168,525,5365717.0,0.26,-0.02,-0.016,0.99
13,2018-09-20,102.43,101.97,102.43,101.899,3866,39425065.0,0.52,-0.19,-0.198,7.29
14,2018-09-21,101.889,101.819,101.9,101.808,376,3828245.0,0.09,-0.15,-0.151,0.71
15,2018-09-25,102.34,101.99,102.34,101.851,514,5243696.0,0.48,0.17,0.171,0.97
16,2018-09-26,102.4,102.03,102.4,101.91,741,7561420.0,0.48,0.04,0.04,1.4
17,2018-09-27,102.033,102.14,102.146,102.033,627,6403192.0,0.11,0.11,0.11,1.18
18,2018-09-28,102.299,102.373,102.373,102.239,635,6497411.0,0.13,0.23,0.233,1.2
19,2018-10-08,102.1,102.407,102.413,102.1,265,2714704.0,0.31,0.03,0.034,0.5
20,2018-10-09,102.108,102.532,102.533,102.108,554,5679993.0,0.42,0.12,0.125,1.04
21,2018-10-10,102.54,102.47,102.546,102.458,538,5517849.0,0.09,-0.06,-0.062,1.01
22,2018-10-11,102.5,102.639,102.639,102.5,524,5370948.0,0.14,0.16,0.169,0.99
23,2018-10-12,102.82,102.814,102.824,102.685,819,8420699.0,0.14,0.17,0.175,1.54
24,2018-10-15,102.806,102.806,102.809,102.806,1247,12820149.0,0.0,-0.01,-0.008,2.35
25,2018-10-16,102.837,102.84,102.84,102.836,1072,11025255.0,0.0,0.03,0.034,2.02
26,2018-10-17,102.915,102.916,102.917,102.9,668,6875831.0,0.02,0.07,0.076,1.26
27,2018-10-18,102.891,102.893,102.986,102.89,1542,15866219.0,0.09,-0.02,-0.023,2.91
28,2018-10-19,102.98,103.068,103.36,102.779,1098,11317075.0,0.56,0.17,0.175,2.07
29,2018-10-22,102.95,102.95,102.953,102.95,1541,15864882.0,0.0,-0.11,-0.118,2.9
30,2018-10-23,102.799,102.897,102.914,102.797,401,4123178.0,0.11,-0.05,-0.053,0.76
31,2018-10-24,103.65,102.99,103.65,102.603,1224,12603620.0,1.02,0.09,0.093,2.31
32,2018-10-25,103.17,103.169,103.18,103.169,920,9492357.0,0.01,0.17,0.179,1.73
33,2018-10-26,102.901,103.183,103.183,102.9,1043,10761836.0,0.27,0.01,0.014,1.97
34,2018-10-29,102.878,103.195,103.195,102.878,1130,11660891.0,0.31,0.01,0.012,2.13
35,2018-10-30,103.91,103.431,103.91,103.35,968,10012128.0,0.54,0.23,0.236,1.82
36,2018-10-31,103.4,103.402,103.402,103.4,1066,11022544.0,0.0,-0.03,-0.029,2.01
37,2018-11-01,103.471,103.471,103.7,103.47,733,7584563.0,0.22,0.07,0.069,1.38
38,2018-11-02,103.47,103.42,103.47,103.42,1023,10584219.0,0.05,-0.05,-0.051,1.93
39,2018-11-05,102.7,103.293,103.568,102.7,666,6877754.0,0.84,-0.12,-0.127,1.26
40,2018-11-06,102.718,103.461,103.865,102.718,968,10009731.0,1.11,0.16,0.168,1.82
41,2018-11-07,103.491,103.583,103.583,103.491,989,10243167.0,0.09,0.12,0.122,1.86
42,2018-11-08,103.815,103.9,103.901,103.815,1015,10537534.0,0.08,0.31,0.317,1.91
43,2018-11-09,103.8,103.83,103.83,103.8,986,10239036.0,0.03,-0.07,-0.07,1.86
44,2018-11-12,104.18,103.871,104.18,103.871,1117,11602458.0,0.3,0.04,0.041,2.1
45,2018-11-13,103.813,103.875,103.888,103.811,804,8348029.0,0.07,0.0,0.004,1.52
46,2018-11-14,103.981,104.203,104.249,103.98,10669,111112177.0,0.26,0.32,0.328,20.11
47,2018-11-15,104.345,104.511,104.518,104.02,16358,170648142.0,0.48,0.3,0.308,30.83
48,2018-11-16,104.56,104.708,104.782,104.56,18383,192267982.0,0.21,0.19,0.197,34.64
49,2018-11-19,104.918,104.843,105.218,104.833,4164,43692120.0,0.37,0.13,0.135,7.85
50,2018-11-20,104.645,104.736,104.8,104.645,19227,201440000.0,0.15,-0.1,-0.107,36.23
51,2018-11-21,104.9,104.743,104.9,104.697,16187,169584091.0,0.19,0.01,0.007,30.5
52,2018-11-22,105.808,104.674,105.808,104.674,18558,194482851.0,1.08,-0.07,-0.069,34.97
53,2018-11-23,104.77,104.684,104.771,104.502,16327,170825580.0,0.26,0.01,0.01,30.77
54,2018-11-26,104.598,104.498,104.646,104.482,11776,123117923.0,0.16,-0.18,-0.186,22.19
55,2018-11-27,104.298,104.507,104.507,104.298,15958,166696417.0,0.2,0.01,0.009,30.07
56,2018-11-28,104.52,104.545,104.563,104.52,10880,113758979.0,0.04,0.04,0.038,20.5
57,2018-11-29,104.61,104.752,104.996,104.61,10393,108799327.0,0.37,0.2,0.207,19.59
58,2018-11-30,104.705,104.587,104.752,101.645,12670,132648359.0,2.97,-0.16,-0.165,23.88
59,2018-12-03,104.587,104.737,104.741,104.4,12577,131708421.0,0.33,0.14,0.15,23.7
60,2018-12-04,104.778,104.966,104.976,104.778,9478,99435286.0,0.19,0.22,0.229,17.86
61,2018-12-05,105.199,105.223,105.72,105.004,14353,151303298.0,0.68,0.24,0.257,27.05
62,2018-12-06,105.228,105.339,105.48,105.202,14719,154959798.0,0.26,0.11,0.116,27.74
63,2018-12-07,105.255,105.38,105.409,105.255,7533,79375112.0,0.15,0.04,0.041,14.2
64,2018-12-10,105.38,105.499,105.82,105.35,14500,153043524.0,0.45,0.11,0.119,27.32
65,2018-12-11,105.548,105.654,105.658,105.548,3710,39179384.0,0.1,0.15,0.155,6.99
66,2018-12-12,105.654,105.685,105.696,105.504,1414,14941560.0,0.18,0.03,0.031,2.66
67,2018-12-13,105.413,105.335,105.555,105.25,940,9905651.0,0.29,-0.33,-0.35,1.77
68,2018-12-14,105.02,104.982,105.3,104.729,1977,20760416.0,0.54,-0.34,-0.353,3.73
69,2018-12-17,105.102,104.91,105.102,104.9,12605,132289429.0,0.19,-0.07,-0.072,23.75
70,2018-12-18,104.66,104.746,104.91,104.6,2694,28199719.0,0.3,-0.16,-0.164,5.08
71,2018-12-19,104.777,104.885,104.885,104.77,6463,67765520.0,0.11,0.13,0.139,12.18
72,2018-12-20,105.25,105.195,105.25,105.03,12120,127489204.0,0.21,0.3,0.31,22.84
73,2018-12-21,105.198,105.422,105.56,105.195,15552,164035611.0,0.35,0.22,0.227,29.31
74,2018-12-24,105.316,105.25,105.415,105.209,8526,89737140.0,0.2,-0.16,-0.172,16.07
75,2018-12-25,105.25,105.306,105.4,105.15,11817,124420020.0,0.24,0.05,0.056,22.27
76,2018-12-26,105.438,105.536,105.536,105.349,4488,47283939.0,0.18,0.22,0.23,8.46
77,2018-12-27,105.536,105.658,105.68,105.406,17165,181329284.0,0.26,0.12,0.122,32.35
78,2018-12-28,105.711,106.134,106.3,105.711,44686,474038576.0,0.56,0.45,0.476,84.21
79,2019-01-02,105.9,106.08,106.193,105.688,34564,366828624.0,0.48,-0.05,-0.054,65.14
80,2019-01-03,106.08,106.257,106.257,106.08,3386,35960846.0,0.17,0.17,0.177,6.38
81,2019-01-04,106.28,106.119,106.44,106.0,2113,22445327.0,0.41,-0.13,-0.138,3.98
82,2019-01-07,106.09,106.007,106.116,105.91,642,6807891.0,0.19,-0.11,-0.112,1.21
83,2019-01-08,106.04,106.092,106.123,106.0,1347,14285252.0,0.12,0.08,0.085,2.54
84,2019-01-09,106.121,106.172,106.182,106.075,935,9919823.0,0.1,0.08,0.08,1.76
85,2019-01-10,106.185,106.191,106.285,106.182,595,6321295.0,0.1,0.02,0.019,1.12
86,2019-01-11,106.191,106.184,106.201,106.141,1095,11627258.0,0.06,-0.01,-0.007,2.06
87,2019-01-14,106.213,106.144,106.226,106.1,1199,12723842.0,0.12,-0.04,-0.04,2.26
88,2019-01-15,106.104,106.1,106.155,106.059,701,7438166.0,0.09,-0.04,-0.044,1.32
89,2019-01-16,106.108,106.352,106.594,106.108,1669,17730804.0,0.46,0.24,0.252,3.15
